geneid	gene_name	proteinid	protein_size	protein_desc
ENSG00000165985	C1QL3	ENSP00000298943	255	Complement C1q-like protein 3; May regulate the number of excitatory synapses that are formed on hippocampus neurons. Has no effect on inhibitory synapses (By similarity). Plays a role in glucose homeostasis. Via AMPK signaling pathway, stimulates glucose uptake in adipocytes, myotubes and hepatocytes and enhances insulin-stimulated glucose uptake. In a hepatoma cell line, reduces the expression of gluconeogenic enzymes G6PC and PCK1 and hence decreases de novo glucose production (By similarity); C1q and TNF related 
ENSG00000148484	RSU1	ENSP00000367154	277	Ras suppressor protein 1; Potentially plays a role in the Ras signal transduction pathway. Capable of suppressing v-Ras transformation in vitro
ENSG00000107614	TRDMT1	ENSP00000367030	391	tRNA (cytosine(38)-C(5))-methyltransferase; Specifically methylates cytosine 38 in the anticodon loop of tRNA(Asp); Seven-beta-strand methyltransferase motif containing
ENSG00000120586	MRC1	ENSP00000455897	1456	Macrophage mannose receptor 1; Mediates the endocytosis of glycoproteins by macrophages. Binds both sulfated and non-sulfated polysaccharide chains; C-type lectin domain containing
ENSG00000077420	APBB1IP	ENSP00000365411	666	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein; Appears to function in the signal transduction from Ras activation to actin cytoskeletal remodeling. Suppresses insulin- induced promoter activities through AP1 and SRE. Mediates Rap1- induced adhesion; Belongs to the MRL family
ENSG00000120539	MASTL	ENSP00000365107	879	Serine/threonine-protein kinase greatwall; Serine/threonine kinase that plays a key role in M phase by acting as a regulator of mitosis entry and maintenance. Acts by promoting the inactivation of protein phosphatase 2A (PP2A) during M phase: does not directly inhibit PP2A but acts by mediating phosphorylation and subsequent activation of ARPP19 and ENSA at 'Ser-62' and 'Ser-67', respectively. ARPP19 and ENSA are phosphatase inhibitors that specifically inhibit the PPP2R2D (PR55-delta) subunit of PP2A. Inactivation of PP2A during M phase is essential to keep cyclin-B1-CDK1 activity hig [...] 
ENSG00000183621	ZNF438	ENSP00000412363	828	Zinc finger protein 438; Isoform 1 acts as a transcriptional repressor; Zinc fingers C2H2-type
ENSG00000095794	CREM	ENSP00000265372	300	cAMP responsive element modulator; Basic leucine zipper proteins
ENSG00000189180	ZNF33A	ENSP00000304268	829	Zinc finger protein 33A; May be involved in transcriptional regulation; Belongs to the krueppel C2H2-type zinc-finger protein family
ENSG00000196693	ZNF33B	ENSP00000352444	778	Zinc finger protein 33B; May be involved in transcriptional regulation; Zinc fingers C2H2-type
ENSG00000169826	CSGALNACT2	ENSP00000363590	542	Chondroitin sulfate N-acetylgalactosaminyltransferase 2; Transfers 1,4-N-acetylgalactosamine (GalNAc) from UDP- GalNAc to the non-reducing end of glucuronic acid (GlcUA). Required for addition of the first GalNAc to the core tetrasaccharide linker and for elongation of chondroitin chains
ENSG00000169740	ZNF32	ENSP00000379143	273	Zinc finger protein 32; May be involved in transcriptional regulation; Zinc fingers C2H2-type
ENSG00000107562	CXCL12	ENSP00000379140	140	Stromal cell-derived factor 1; Chemoattractant active on T-lymphocytes, monocytes, but not neutrophils. Activates the C-X-C chemokine receptor CXCR4 to induce a rapid and transient rise in the level of intracellular calcium ions and chemotaxis. Also binds to atypical chemokine receptor ACKR3, which activates the beta-arrestin pathway and acts as a scavenger receptor for SDF-1. SDF-1-beta(3-72) and SDF-1- alpha(3-67) show a reduced chemotactic activity. Binding to cell surface proteoglycans seems to inhibit formation of SDF-1-alpha(3- 67) and thus to preserve activity on local sites. Ac [...] 
ENSG00000165511	C10orf25	ENSP00000298298	122	Uncharacterized protein C10orf25; Chromosome 10 open reading frame 25
ENSG00000172661	FAM21C	ENSP00000363482	1320	WASH complex subunit 2C; Acts at least in part as component of the WASH core complex whose assembly at the surface of endosomes inhibits WASH nucleation-promoting factor (NPF) activity in recruiting and activating the Arp2/3 complex to induce actin polymerization and is involved in the fission of tubules that serve as transport intermediates during endosome sorting. Mediates the recruitment of the WASH core complex to endosome membranes via binding to phospholipids and VPS35 of the retromer CSC. Mediates the recruitment of the F-actin-capping protein dimer to the WASH core complex prob [...] 
ENSG00000188234	AGAP4	ENSP00000392513	663	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4; Putative GTPase-activating protein; Ankyrin repeat domain containing
ENSG00000198250	ANTXRL	ENSP00000480615	631	Anthrax toxin receptor like
ENSG00000128805	ARHGAP22	ENSP00000412461	714	Rho GTPase-activating protein 22; Rho GTPase-activating protein involved in the signal transduction pathway that regulates endothelial cell capillary tube formation during angiogenesis. Acts as a GTPase activator for the RAC1 by converting it to an inactive GDP-bound state. Inhibits RAC1-dependent lamellipodia formation. May also play a role in transcription regulation via its interaction with VEZF1, by regulating activity of the endothelin-1 (EDN1) promoter (By similarity); Pleckstrin homology domain containing
ENSG00000138294	MSMB	ENSP00000463092	114	Beta-microseminoprotein; Microseminoprotein beta
ENSG00000204149	AGAP6	ENSP00000400972	686	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6; Putative GTPase-activating protein; Ankyrin repeat domain containing
ENSG00000099290	FAM21A	ENSP00000282633	1341	WASH complex subunit 2A; Acts at least in part as component of the WASH core complex whose assembly at the surface of endosomes inhibits WASH nucleation-promoting factor (NPF) activity in recruiting and activating the Arp2/3 complex to induce actin polymerization and is involved in the fission of tubules that serve as transport intermediates during endosome sorting. Mediates the recruitment of the WASH core complex to endosome membranes via binding to phospholipids and VPS35 of the retromer CSC. Mediates the recruitment of the F-actin-capping protein dimer to the WASH core complex prob [...] 
ENSG00000204147	ASAH2B	ENSP00000363118	165	Putative inactive neutral ceramidase B; N-acylsphingosine amidohydrolase 2B
ENSG00000107984	DKK1	ENSP00000363081	266	Dickkopf-related protein 1; Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6. DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease. Inhibits the pro-apoptotic function of KREMEN1 in a Wnt-independent manner [...] 
ENSG00000108064	TFAM	ENSP00000420588	246	Transcription factor A, mitochondrial; Binds to the mitochondrial light strand promoter and functions in mitochondrial transcription regulation. Required for accurate and efficient promoter recognition by the mitochondrial RNA polymerase. Promotes transcription initiation from the HSP1 and the light strand promoter by binding immediately upstream of transcriptional start sites. Is able to unwind DNA. Bends the mitochondrial light strand promoter DNA into a U-turn shape via its HMG boxes. Required for maintenance of normal levels of mitochondrial DNA. May play a role in organizing and c [...] 
ENSG00000122870	BICC1	ENSP00000362993	974	Protein bicaudal C homolog 1; Putative RNA-binding protein. Acts as a negative regulator of Wnt signaling. May be involved in regulating gene expression during embryonic development; Sterile alpha motif domain containing
ENSG00000170312	CDK1	ENSP00000378699	297	Cyclin-dependent kinase 1; Plays a key role in the control of the eukaryotic cell cycle by modulating the centrosome cycle as well as mitotic onset; promotes G2-M transition, and regulates G1 progress and G1-S transition via association with multiple interphase cyclins. Required in higher cells for entry into S-phase and mitosis. Phosphorylates PARVA/actopaxin, APC, AMPH, APC, BARD1, Bcl- xL/BCL2L1, BRCA2, CALD1, CASP8, CDC7, CDC20, CDC25A, CDC25C, CC2D1A, CENPA, CSNK2 proteins/CKII, FZR1/CDH1, CDK7, CEBPB, CHAMP1, DMD/dystrophin, EEF1 proteins/EF-1, EZH2, KIF11/EG5, EGFR, FANCG, FOS,  [...] 
ENSG00000183346	C10orf107	ENSP00000328698	208	Ciliary-associated calcium-binding coiled-coil protein 1; Calcium-binding protein. May be involved in the control of sperm flagellar movement
ENSG00000181915	ADO	ENSP00000362888	270	2-aminoethanethiol dioxygenase
ENSG00000179774	ATOH7	ENSP00000362777	152	Protein atonal homolog 7; Transcription factor involved in the differentiation of retinal ganglion cells; Basic helix-loop-helix proteins
ENSG00000096746	HNRNPH3	ENSP00000265866	346	Heterogeneous nuclear ribonucleoprotein H3; Involved in the splicing process and participates in early heat shock-induced splicing arrest. Due to their great structural variations the different isoforms may possess different functions in the splicing reaction; RNA binding motif containing
ENSG00000138346	DNA2	ENSP00000351185	1060	DNA replication ATP-dependent helicase/nuclease DNA2; Key enzyme involved in DNA replication and DNA repair in nucleus and mitochondrion. Involved in Okazaki fragments processing by cleaving long flaps that escape FEN1: flaps that are longer than 27 nucleotides are coated by replication protein A complex (RPA), leading to recruit DNA2 which cleaves the flap until it is too short to bind RPA and becomes a substrate for FEN1. Also involved in 5'-end resection of DNA during double- strand break (DSB) repair: recruited by BLM and mediates the cleavage of 5'-ssDNA, while the 3'-ssDNA cleava [...] 
ENSG00000138336	TET1	ENSP00000362748	2136	Methylcytosine dioxygenase TET1; Dioxygenase that catalyzes the conversion of the modified genomic base 5-methylcytosine (5mC) into 5- hydroxymethylcytosine (5hmC) and plays a key role in active DNA demethylation. Also mediates subsequent conversion of 5hmC into 5- formylcytosine (5fC), and conversion of 5fC to 5-carboxylcytosine (5caC). Conversion of 5mC into 5hmC, 5fC and 5caC probably constitutes the first step in cytosine demethylation. Methylation at the C5 position of cytosine bases is an epigenetic modification of the mammalian genome which plays an important role in transcripti [...] 
ENSG00000165730	STOX1	ENSP00000298596	989	Storkhead-box protein 1; Involved in regulating the levels of reactive oxidative species and reactive nitrogen species and in mitochondrial homeostasis in the placenta. Required for regulation of inner ear epithelial cell proliferation via the AKT signaling pathway (By similarity)
ENSG00000165732	DDX21	ENSP00000346120	783	Nucleolar RNA helicase 2; RNA helicase that acts as a sensor of the transcriptional status of both RNA polymerase (Pol) I and II: promotes ribosomal RNA (rRNA) processing and transcription from polymerase II (Pol II). Binds various RNAs, such as rRNAs, snoRNAs, 7SK and, at lower extent, mRNAs. In the nucleolus, localizes to rDNA locus, where it directly binds rRNAs and snoRNAs, and promotes rRNA transcription, processing and modification. Required for rRNA 2'- O-methylation, possibly by promoting the recruitment of late- acting snoRNAs SNORD56 and SNORD58 with pre-ribosomal complexes.  [...] 
ENSG00000156510	HKDC1	ENSP00000346643	917	Putative hexokinase HKDC1; Hexokinase domain containing 1
ENSG00000156574	NODAL	ENSP00000287139	347	Nodal homolog; Essential for mesoderm formation and axial patterning during embryonic development; Belongs to the TGF-beta family
ENSG00000107731	UNC5B	ENSP00000334329	945	Netrin receptor UNC5B; Receptor for netrin required for axon guidance. Mediates axon repulsion of neuronal growth cones in the developing nervous system upon ligand binding. Axon repulsion in growth cones may be caused by its association with DCC that may trigger signaling for repulsion (By similarity). Functions as netrin receptor that negatively regulates vascular branching during angiogenesis. Mediates retraction of tip cell filopodia on endothelial growth cones in response to netrin (By similarity). It also acts as a dependence receptor required for apoptosis induction when not ass [...] 
ENSG00000138303	ASCC1	ENSP00000339404	400	Activating signal cointegrator 1 complex subunit 1; Enhances NF-kappa-B, SRF and AP1 transactivation. In cells responding to gastrin-activated paracrine signals, it is involved in the induction of SERPINB2 expression by gastrin. May also play a role in the development of neuromuscular junction
ENSG00000148719	DNAJB12	ENSP00000345575	409	DnaJ homolog subfamily B member 12; Acts as a co-chaperone with HSPA8/Hsc70; required to promote protein folding and trafficking, prevent aggregation of client proteins, and promote unfolded proteins to endoplasmic reticulum-associated degradation (ERAD) pathway. Acts by determining HSPA8/Hsc70's ATPase and polypeptide-binding activities. Can also act independently of HSPA8/Hsc70: together with DNAJB14, acts as a chaperone that promotes maturation of potassium channels KCND2 and KCNH2 by stabilizing nascent channel subunits and assembling them into tetramers. While stabilization of nas [...] 
ENSG00000138315	OIT3	ENSP00000333900	545	Oncoprotein-induced transcript 3 protein; May be involved in hepatocellular function and development
ENSG00000166321	NUDT13	ENSP00000349874	352	Nucleoside diphosphate-linked moiety X motif 13; Nudix hydrolase family
ENSG00000166507	NDST2	ENSP00000310657	883	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2; Essential bifunctional enzyme that catalyzes both the N- deacetylation and the N-sulfation of glucosamine (GlcNAc) of the glycosaminoglycan in heparan sulfate. Modifies the GlcNAc-GlcA disaccharide repeating sugar backbone to make N-sulfated heparosan, a prerequisite substrate for later modifications in heparin biosynthesis. Plays a role in determining the extent and pattern of sulfation of heparan sulfate. Required for the exosomal release of SDCBP, CD63 and syndecan; Sulfotransferases, membrane bound
ENSG00000148655	C10orf11	ENSP00000361577	198	Leucine-rich melanocyte differentiation-associated protein; Required for melanocyte differentiation
ENSG00000151208	DLG5	ENSP00000361467	1919	Disks large homolog 5; Acts as a regulator of the Hippo signaling pathway. Negatively regulates the Hippo signaling pathway by mediating the interaction of MARK3 with STK3/4, bringing them together to promote MARK3-dependent hyperphosphorylation and inactivation of STK3 kinase activity toward LATS1. Positively regulates the Hippo signaling pathway by mediating the interaction of SCRIB with STK4/MST1 and LATS1 which is important for the activation of the Hippo signaling pathway. Involved in regulating cell proliferation, maintenance of epithelial polarity, epithelial- mesenchymal transi [...] 
ENSG00000188199	NUTM2B	ENSP00000394623	878	NUT family member 2B
ENSG00000133661	SFTPD	ENSP00000361366	375	Pulmonary surfactant-associated protein D; Contributes to the lung's defense against inhaled microorganisms, organic antigens and toxins. Interacts with compounds such as bacterial lipopolysaccharides, oligosaccharides and fatty acids and modulates leukocyte action in immune response. May participate in the extracellular reorganization or turnover of pulmonary surfactant. Binds strongly maltose residues and to a lesser extent other alpha-glucosyl moieties; C-type lectin domain containing
ENSG00000189129	PLAC9	ENSP00000361337	97	Placenta-specific protein 9; Placenta specific 9; Belongs to the PLAC9 family
ENSG00000165678	GHITM	ENSP00000361207	345	Growth hormone-inducible transmembrane protein; Required for the mitochondrial tubular network and cristae organization. Involved in apoptotic release of cytochrome c; Transmembrane BAX inhibitor motif containing
ENSG00000182771	GRID1	ENSP00000330148	1009	Glutamate receptor ionotropic, delta-1; Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists; Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRID1 subfamily
ENSG00000173269	MMRN2	ENSP00000361097	949	Multimerin-2; Inhibits endothelial cells motility and acts as a negative regulator of angiogenesis; it downregulates KDR activation by binding VEGFA; EMI domain containing
ENSG00000184923	NUTM2A	ENSP00000371126	878	NUT family member 2A
ENSG00000214562	NUTM2D	ENSP00000484887	877	NUT family member 2D; Belongs to the NUT family
ENSG00000138134	STAMBPL1	ENSP00000360994	436	AMSH-like protease; Zinc metalloprotease that specifically cleaves 'Lys-63'- linked polyubiquitin chains. Does not cleave 'Lys-48'-linked polyubiquitin chains; Belongs to the peptidase M67C family
ENSG00000026103	FAS	ENSP00000347979	335	Tumor necrosis factor receptor superfamily member 6; Receptor for TNFSF6/FASLG. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death- inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. FAS- mediated apoptosis may have a role in the induction of peripheral tolerance, in the antigen-stimulated suicide of mature T-cells, or both. The secreted isoforms 2 to 6 block apoptosis (in vitro); CD molecules
ENSG00000138135	CH25H	ENSP00000360918	272	Cholesterol 25-hydroxylase; Catalyzes the formation of 25-hydroxycholesterol from cholesterol, leading to repress cholesterol biosynthetic enzymes. Plays a key role in cell positioning and movement in lymphoid tissues: 25-hydroxycholesterol is an intermediate in biosynthesis of 7-alpha,25-dihydroxycholesterol (7-alpha,25-OHC), an oxysterol that acts as a ligand for the G protein-coupled receptor GPR183/EBI2, a chemotactic receptor for a number of lymphoid cells. May play an important role in regulating lipid metabolism by synthesizing a corepressor that blocks sterol regulatory element [...] 
ENSG00000119922	IFIT2	ENSP00000360891	472	Interferon-induced protein with tetratricopeptide repeats 2; IFN-induced antiviral protein which inhibits expression of viral messenger RNAs lacking 2'-O-methylation of the 5' cap. The ribose 2'-O-methylation would provide a molecular signature to distinguish between self and non-self mRNAs by the host during viral infection. Viruses evolved several ways to evade this restriction system such as encoding their own 2'-O-methylase for their mRNAs or by stealing host cap containing the 2'-O- methylation (cap snatching mechanism). Binds AU-rich viral RNAs, with or without 5' triphosphorylat [...] 
ENSG00000119917	IFIT3	ENSP00000360883	490	Interferon-induced protein with tetratricopeptide repeats 3; IFN-induced antiviral protein which acts as an inhibitor of cellular as well as viral processes, cell migration, proliferation, signaling, and viral replication. Enhances MAVS- mediated host antiviral responses by serving as an adapter bridging TBK1 to MAVS which leads to the activation of TBK1 and phosphorylation of IRF3 and phosphorylated IRF3 translocates into nucleus to promote antiviral gene transcription. Exihibits an antiproliferative activity via the up-regulation of cell cycle negative regulators CDKN1A/p21 and CDKN1 [...] 
ENSG00000152778	IFIT5	ENSP00000360860	482	Interferon-induced protein with tetratricopeptide repeats 5; Interferon-induced RNA-binding protein involved in the human innate immune response. Has a broad and adaptable RNA structure recognition important for RNA recognition specificity in antiviral defense. Binds precursor and processed tRNAs as well as poly-U-tailed tRNA fragments. Specifically binds single-stranded RNA bearing a 5'-triphosphate group (PPP-RNA), thereby acting as a sensor of viral single-stranded RNAs. Single-stranded PPP-RNAs, which lack 2'-O-methylation of the 5' cap and bear a 5'-triphosphate group instead, are [...] 
ENSG00000138182	KIF20B	ENSP00000360793	1820	Kinesin-like protein KIF20B; Plus-end-directed motor enzyme that is required for completion of cytokinesis. Required for proper midbody organization and abscission in polarized cortical stem cells. Plays a role in the regulation of neuronal polarization by mediating the transport of specific cargos. Participates in the mobilization of SHTN1 and in the accumulation of PIP3 in the growth cone of primary hippocampal neurons in a tubulin and actin-dependent manner. In the developing telencephalon, cooperates with SHTN1 to promote both the transition from the multipolar to the bipolar stage [...] 
ENSG00000148688	RPP30	ENSP00000389182	322	Ribonuclease P protein subunit p30; Component of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends
ENSG00000119938	PPP1R3C	ENSP00000238994	317	Protein phosphatase 1 regulatory subunit 3C; Acts as a glycogen-targeting subunit for PP1 and regulates its activity. Activates glycogen synthase, reduces glycogen phosphorylase activity and limits glycogen breakdown. Dramatically increases basal and insulin-stimulated glycogen synthesis upon overexpression in a variety of cell types; Protein phosphatase 1 regulatory subunits
ENSG00000138160	KIF11	ENSP00000260731	1056	Kinesin-like protein KIF11; Motor protein required for establishing a bipolar spindle during mitosis. Required in non-mitotic cells for transport of secretory proteins from the Golgi complex to the cell surface; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. BimC subfamily
ENSG00000148690	FRA10AC1	ENSP00000360488	315	Protein FRA10AC1; FRA10A associated CGG repeat 1; Spliceosomal C complex
ENSG00000176273	SLC35G1	ENSP00000400932	365	Solute carrier family 35 member G1; May play a role in intracellular calcium sensing and homeostasis. May act as a negative regulator of plasma membrane calcium-transporting ATPases preventing calcium efflux from the cell; Solute carriers
ENSG00000138193	PLCE1	ENSP00000360431	2302	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1; The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. PLCE1 is a bifunctional enzyme which also regulates small GTPases of the Ras superfamily through its Ras guanine- exchange factor (RasGEF) activity. As an effector of heterotrimeric and small G-protein, it may play a role in cell survival, cell growth, actin organization and T-cell activation; C2 domain containing phospholipases
ENSG00000095637	SORBS1	ENSP00000360293	1292	Sorbin and SH3 domain-containing protein 1; Plays a role in tyrosine phosphorylation of CBL by linking CBL to the insulin receptor. Required for insulin- stimulated glucose transport. Involved in formation of actin stress fibers and focal adhesions (By similarity)
ENSG00000107443	CCNJ	ENSP00000435373	383	Cyclin-J; Cyclin J; Cyclins
ENSG00000187122	SLIT1	ENSP00000266058	1534	Slit homolog 1 protein; Thought to act as molecular guidance cue in cellular migration, and function appears to be mediated by interaction with roundabout homolog receptors. During neural development involved in axonal navigation at the ventral midline of the neural tube and projection of axons to different regions (By similarity). SLIT1 and SLIT2 together seem to be essential for midline guidance in the forebrain by acting as repulsive signal preventing inappropriate midline crossing by axons projecting from the olfactory bulb
ENSG00000241935	HOGA1	ENSP00000359680	327	4-hydroxy-2-oxoglutarate aldolase, mitochondrial; Catalyzes the final step in the metabolic pathway of hydroxyproline
ENSG00000203942	C10orf62	ENSP00000359674	223	Uncharacterized protein C10orf62; Chromosome 10 open reading frame 62
ENSG00000171160	MORN4	ENSP00000307636	146	MORN repeat-containing protein 4; Plays a role in promoting axonal degeneration following neuronal injury by toxic insult or trauma
ENSG00000119943	PYROXD2	ENSP00000359607	581	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2; Probable oxidoreductase
ENSG00000107521	HPS1	ENSP00000326649	700	Hermansky-Pudlak syndrome 1 protein; Component of the BLOC-3 complex, a complex that acts as a guanine exchange factor (GEF) for RAB32 and RAB38, promotes the exchange of GDP to GTP, converting them from an inactive GDP-bound form into an active GTP-bound form. The BLOC-3 complex plays an important role in the control of melanin production and melanosome biogenesis and promotes the membrane localization of RAB32 and RAB38
ENSG00000172987	HPSE2	ENSP00000359583	592	Inactive heparanase-2; Binds heparin and heparan sulfate with high affinity, but lacks heparanase activity. Inhibits HPSE, possibly by competing for its substrates (in vitro)
ENSG00000119946	CNNM1	ENSP00000349147	951	Metal transporter CNNM1; Probable metal transporter; Belongs to the ACDP family
ENSG00000023839	ABCC2	ENSP00000359478	1545	Canalicular multispecific organic anion transporter 1; Mediates hepatobiliary excretion of numerous organic anions. May function as a cellular cisplatin transporter; ATP binding cassette subfamily C
ENSG00000107554	DNMBP	ENSP00000315659	1577	Dynamin-binding protein; Scaffold protein that links dynamin with actin- regulating proteins. May play a role in membrane trafficking between the cell surface and the Golgi (By similarity); Classical BAR domain containing
ENSG00000213341	CHUK	ENSP00000359424	745	Inhibitor of nuclear factor kappa-B kinase subunit alpha; Serine kinase that plays an essential role in the NF- kappa-B signaling pathway which is activated by multiple stimuli such as inflammatory cytokines, bacterial or viral products, DNA damages or other cellular stresses. Acts as part of the canonical IKK complex in the conventional pathway of NF-kappa-B activation and phosphorylates inhibitors of NF-kappa-B on serine residues. These modifications allow polyubiquitination of the inhibitors and subsequent degradation by the proteasome. In turn, free NF-kappa-B is translocated into  [...] 
ENSG00000095485	CWF19L1	ENSP00000326411	538	CWF19-like protein 1; CWF19 like 1, cell cycle control
ENSG00000196072	BLOC1S2	ENSP00000359398	142	Biogenesis of lysosome-related organelles complex 1 subunit 2; Component of the BLOC-1 complex, a complex that is required for normal biogenesis of lysosome-related organelles (LRO), such as platelet dense granules and melanosomes. In concert with the AP-3 complex, the BLOC-1 complex is required to target membrane protein cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. The BLOC-1 complex, in association with SNARE proteins, is also proposed to be involved in neurite extension (By similarity). As part of the BORC complex may play a role in l [...] 
ENSG00000075826	SEC31B	ENSP00000359370	1179	Protein transport protein Sec31B; As a component of the coat protein complex II (COPII), may function in vesicle budding and cargo export from the endoplasmic reticulum; Belongs to the WD repeat SEC31 family
ENSG00000107819	SFXN3	ENSP00000224807	325	Sideroflexin-3; Potential iron transporter; Sideroflexins
ENSG00000119915	ELOVL3	ENSP00000359022	270	Elongation of very long chain fatty acids protein 3; Catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. Condensing enzyme with higher activity toward C18 acyl-CoAs, especially C18:0 acyl-CoAs. May participate in the production of saturated and monounsaturated VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of memb [...] 
